id,schema,userId,featureId,startTime,endTime,totalTime,downloadSpeed,uploadSpeed,appType
69bcbae02f4b2f6cf9d883ab,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:11:25.517000+00:00,2026-03-20T03:11:25.817000+00:00,0,23290,18713,Kotlin
69bcbae32f4b2f6cf9d883ad,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T03:11:28.255000+00:00,2026-03-20T03:11:28.795000+00:00,0,23290,18713,Kotlin
69bcbaee2f4b2f6cf9d883b1,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T03:11:39.163000+00:00,2026-03-20T03:11:39.494000+00:00,0,23606,12701,Kotlin
69bcbafb2f4b2f6cf9d883b4,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T03:11:52.118000+00:00,2026-03-20T03:11:52.461000+00:00,0,23290,18713,Kotlin
69bcbb2e094700f7b22a8ae6,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:12:46.118000+00:00,2026-03-20T03:12:46.440000+00:00,0,30000,5792,Kotlin
69bcbb2e094700f7b22a8ae7,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:12:46.501000+00:00,2026-03-20T03:12:46.789000+00:00,0,30000,5792,Kotlin
69bcbb342f4b2f6cf9d883b8,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:12:48.827000+00:00,2026-03-20T03:12:49.367000+00:00,0,23290,18713,Kotlin
69bcbb342f4b2f6cf9d883b9,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:12:49.570000+00:00,2026-03-20T03:12:50.014000+00:00,0,23290,18713,Kotlin
69bcbb48094700f7b22a8ae8,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:13:12.869000+00:00,2026-03-20T03:13:13.245000+00:00,0,30000,5792,Kotlin
69bcbb55094700f7b22a8ae9,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:13:25.077000+00:00,2026-03-20T03:13:25.378000+00:00,0,30000,5792,Kotlin
69bcbb93094700f7b22a8aea,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5003,2026-03-20T03:14:25.850000+00:00,2026-03-20T03:14:27.470000+00:00,1,30000,5792,Kotlin
69bcbc092f4b2f6cf9d883bf,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:16:22.021000+00:00,2026-03-20T03:16:22.338000+00:00,0,23290,18713,Kotlin
69bcc8e7094700f7b22a8aec,1,69bcb387094700f7b22a8a69,69bc9f4357adce41b32f4ffc,2026-03-20T04:11:18.556000+00:00,2026-03-20T04:11:19.815000+00:00,1,30000,5792,Kotlin
69bcc8e7094700f7b22a8aed,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T04:11:19.702000+00:00,2026-03-20T04:11:20.082000+00:00,0,30000,5792,Kotlin
69bcc8e8094700f7b22a8aee,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T04:11:20.078000+00:00,2026-03-20T04:11:20.361000+00:00,0,30000,5792,Kotlin
69bcc8e8094700f7b22a8aef,1,69bcb387094700f7b22a8a69,69bc9f4357adce41b32f4ffc,2026-03-20T04:11:18.508000+00:00,2026-03-20T04:11:20.145000+00:00,1,30000,5792,Kotlin
69bcc8e8094700f7b22a8af0,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f4ffd,2026-03-20T04:11:19.700000+00:00,2026-03-20T04:11:20.845000+00:00,1,30000,5792,Kotlin
69bcc8ed094700f7b22a8af1,1,69bcb387094700f7b22a8a69,69bc9f4357adce41b32f4ffc,2026-03-20T04:11:25.444000+00:00,2026-03-20T04:11:25.828000+00:00,0,30000,5792,Kotlin
69bcc8ee094700f7b22a8af3,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T04:11:26.702000+00:00,2026-03-20T04:11:26.989000+00:00,0,30000,5792,Kotlin
69bcc8ee094700f7b22a8af4,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f4ffd,2026-03-20T04:11:26.698000+00:00,2026-03-20T04:11:27.125000+00:00,0,30000,5792,Kotlin
69bcc8ee094700f7b22a8af5,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T04:11:27.088000+00:00,2026-03-20T04:11:27.369000+00:00,0,30000,5792,Kotlin
69bcd7d5094700f7b22a8af6,1,69bcb387094700f7b22a8a69,69bc9f4357adce41b32f4ffc,2026-03-20T05:15:00.946000+00:00,2026-03-20T05:15:02.029000+00:00,1,30000,5792,Kotlin
69bcd7d5094700f7b22a8af7,1,69bcb387094700f7b22a8a69,69bc9f4357adce41b32f4ffc,2026-03-20T05:15:00.988000+00:00,2026-03-20T05:15:02.024000+00:00,1,30000,5792,Kotlin
69bcd7d6094700f7b22a8af9,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T05:15:03.056000+00:00,2026-03-20T05:15:03.342000+00:00,0,30000,5792,Kotlin
69bcd7d6094700f7b22a8afa,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f4ffd,2026-03-20T05:15:03.053000+00:00,2026-03-20T05:15:03.449000+00:00,0,30000,5792,Kotlin
